Pin,Metal,"3/4"" TF PIN W/FUEL","3/4""",1,67.4500121036069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screws,Metal,"6 X 1-1/4""  Fine",8000- Box,1,42.5199310493428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K,N,E,L,L,S, ,R,I,D,G,E, ,U,N,I,T,S, ,A,3,2, ,2,-,4,,,,,,,,,
Material Total,Category,Description,Size,Quantity,Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hat Channel,Metal,"1 1/2"" 25 GA",12,50,211.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8 Firecode,Drywall,40,4 X 10,74,902.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8 Mold Tough/Xp,Drywall,40,4 X 10,19,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mud,Drywall,USG Taping,5 Gal BKT,10,148.500024420024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tape,Drywall,DW TAPE,250' Roll,7,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAN HEADS,Metal,"8 1/2"" PAN","8 1/2""",1,78.6002178649238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin,Metal,"3/4"" TF PIN W/FUEL","3/4""",1,67.4500121036069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screws,Metal,"6 X 1-1/4""  Fine",8000- Box,1,42.5200826769454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K,N,E,L,L,S, ,R,I,D,G,E, ,U,N,I,T, ,A,4,3,D,2, ,F,I,R,S,T, ,F,L,O,O,R
Material Total,Category,Description,Size,Quantity,Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hat Channel,Metal,"1 1/2"" 25 GA",12,59,249.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8 Firecode,Drywall,40,4 X 10,92,1122.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8 Mold Tough/Xp,Drywall,40,4 X 10,27,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mud,Drywall,USG Taping,5 Gal BKT,13,193.050049087476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tape,Drywall,DW TAPE,250' Roll,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAN HEADS,Metal,"8 1/2"" PAN","8 1/2""",1,78.5993100944081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin,Metal,"3/4"" TF PIN W/FUEL","3/4""",1,67.4499717582506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screws,Metal,"6 X 1-1/4""  Fine",8000- Box,1,42.5199965448735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
